t_solve, t_update, t_total
10.681,0,10.681
6.695,0.132211,6.82721
6.375,0.119485,6.49449
6.69,0.148788,6.83879
6.942,0.165315,7.10731
4.473,0.117221,4.59022
7.597,0.146269,7.74327
6.386,0.137216,6.52322
6.524,0.15272,6.67672
6.309,0.158736,6.46774
7.151,0.21385,7.36485
7.334,0.30483,7.63883
7.107,0.24114,7.34814
7.931,0.296717,8.22772
7.265,0.268973,7.53397
5.703,0.38785,6.09085
7.212,0.208325,7.42033
7.889,0.233009,8.12201
7.109,0.198653,7.30765
9.827,0.27048,10.0975
7.157,0.304433,7.46143
10.429,0.266435,10.6954
4.921,0.246095,5.16709
7.563,0.227928,7.79093
5.848,0.275673,6.12367
5.888,0.202893,6.09089
7.552,0.255557,7.80756
6.203,0.458204,6.6612
9.209,0.335737,9.54474
8.797,0.396864,9.19386
6.59,0.328593,6.91859
7.202,0.282811,7.48481
8.136,0.308241,8.44424
6.468,0.249126,6.71713
8.818,0.283674,9.10167
6.719,0.35646,7.07546
9.313,0.228601,9.5416
6.31,0.256396,6.5664
8.983,0.251128,9.23413
6.177,0.313254,6.49025
5.725,0.236821,5.96182
8.518,0.335208,8.85321
6.372,0.509264,6.88126
7.845,0.282808,8.12781
6.032,0.338946,6.37095
7.708,0.70779,8.41579
6.118,0.350468,6.46847
7.124,0.296047,7.42005
7.35,0.460629,7.81063
7.111,0.468583,7.57958
9.333,0.489233,9.82223
6.351,0.304882,6.65588
7.095,0.412331,7.50733
6.34,0.261741,6.60174
7.575,0.254854,7.82985
5.757,0.252301,6.0093
7.529,0.273986,7.80299
5.342,0.391559,5.73356
5.073,0.404843,5.47784
7.086,0.211704,7.2977
5.394,0.211037,5.60504
4.736,0.232254,4.96825
6.07,0.245623,6.31562
6.086,0.197527,6.28353
5.548,0.211017,5.75902
8.531,0.28373,8.81473
4.771,0.287415,5.05842
7.932,0.26804,8.20004
5.631,0.286987,5.91799
7.24,0.328199,7.5682
6.094,0.463256,6.55726
5.305,0.22053,5.52553
6.554,0.254086,6.80809
5.952,0.202023,6.15402
7.803,0.278707,8.08171
6.047,0.439821,6.48682
6.1,0.264881,6.36488
6.866,0.329914,7.19591
5.308,0.291816,5.59982
8.914,0.326112,9.24011
6.422,0.334052,6.75605
5.926,0.405613,6.33161
7.336,0.530447,7.86645
5.911,0.579279,6.49028
7.755,0.452202,8.2072
4.949,0.514647,5.46365
7.343,0.533864,7.87686
6.429,0.740377,7.16938
6.629,0.459139,7.08814
7.768,0.874827,8.64283
6.075,0.581444,6.65644
6.653,0.710534,7.36353
5.681,0.448767,6.12977
7.886,1.05998,8.94598
6.812,0.476259,7.28826
10.538,0.676906,11.2149
6.148,0.73944,6.88744
7.47,0.434474,7.90447
6.414,0.376287,6.79029
6.207,0.381968,6.58897
7.073,0.673811,7.74681
6.914,0.370849,7.28485
4.336,0.421818,4.75782
7.876,0.261724,8.13772
7.47,0.254891,7.72489
7.694,0.235183,7.92918
5.578,0.22616,5.80416
8.27,0.267556,8.53756
4.305,0.43088,4.73588
6.596,0.231544,6.82754
6.459,0.234823,6.69382
4.266,0.273875,4.53987
5.683,0.213731,5.89673
6.051,0.255642,6.30664
4.051,0.294284,4.34528
4.987,0.240441,5.22744
5.983,0.195797,6.1788
4.486,0.277086,4.76309
4.498,0.189032,4.68703
4.622,0.207262,4.82926
4.866,0.297932,5.16393
4.115,0.180453,4.29545
5.141,0.235219,5.37622
5.122,0.249526,5.37153
4.471,0.158791,4.62979
4.253,0.14848,4.40148
5.059,0.181605,5.2406
4.185,0.162848,4.34785
4.643,0.144277,4.78728
6.788,0.217571,7.00557
6.4635,0.27483,6.81765
