timings, timings_total, nb_constraints, x0s[0], x0s[1], x0s[2], x0s[3]
28.5895,28.9964,376,56.3933,3.6838,2,-0.00556577
24.5557,24.7762,376,57.0183,3.68032,2,-0.00300831
17.1724,17.3906,376,57.6433,3.67844,2,-0.00162601
14.6053,14.7334,376,58.2683,3.67742,2,-0.000878868
11.0473,11.1743,376,58.8933,3.67687,2,-0.000475035
13.5296,13.7043,376,59.5183,3.67658,2,-0.000256761
15.1074,15.208,376,60.1433,3.67642,2,-0.000138783
16.1059,16.2204,376,60.7683,3.67633,2,-7.50143e-05
14.334,14.4373,376,61.3933,3.67628,2,-4.0547e-05
13.5936,13.6881,376,62.0183,3.67626,2,-2.1917e-05
10.0155,10.1212,376,62.6433,3.67624,2,-1.18473e-05
12.6403,12.8297,376,63.2683,3.67624,2,-6.40449e-06
14.3515,14.4483,376,63.8933,3.67623,2,-3.46251e-06
14.3991,14.4971,376,64.5183,3.67623,2,-1.87228e-06
14.4667,14.6002,376,65.1433,3.67623,2,-1.01269e-06
9.81565,9.91034,376,65.7683,3.67623,2,-5.48013e-07
13.986,14.2437,376,66.3933,3.67623,2,-2.96803e-07
14.2834,14.4107,376,67.0183,3.67623,2,-1.60977e-07
14.6143,14.7127,376,67.6433,3.67623,2,-8.75223e-08
